ID,Name,a,e,i,H,H_std,D,D_std,dadt,dadt_std,P,P_std,Q,Ref,SNR
0,1995CR,0.906941013,0.868434841,4.067017755,21.7,NaN,NaN,NaN,-0.015589,0.004071,2.66,NaN,6,B,3.829280275
265482,2005EE,1.12903659,0.327719756,6.172856921,21.2,NaN,NaN,NaN,0.004207,0.001102,2.6534,NaN,3,B,3.817604356
136818,Selqet,0.937513408,0.346365049,12.77858389,18.9,NaN,NaN,NaN,0.001218,0.00032,NaN,NaN,NaN,B,3.80625
446924,2002VV17,0.83749743,0.436562255,9.69906353,20.2,NaN,NaN,NaN,-0.001788674,0.0004701,NaN,NaN,NaN,D,3.804878049
1685,Toro,1.367586472,0.43583711,9.383132279,14.3,NaN,3.4,NaN,-0.000152,4.00E-05,10.1995,NaN,8,A,3.8
7336,Saunders,2.304880274,0.481705072,7.197246574,18.8,NaN,NaN,NaN,0.001244,0.00033,4.307,NaN,8,A,3.76969697
425755,2011CP4,0.911466172,0.870276115,9.442594214,21.2,NaN,NaN,NaN,0.009646,0.002565,NaN,NaN,NaN,B,3.760623782
192559,1998VO,1.074566921,0.226526366,10.0610921,20.3,NaN,NaN,NaN,-0.001425,0.00038,NaN,NaN,NaN,B,3.75
163023,2001XU1,0.797352436,0.546266699,27.15698274,19.3,NaN,NaN,NaN,0.003204,0.000861,NaN,NaN,NaN,B,3.721254355
NaN,2002JE9,1.067969417,0.416746432,8.828366998,21.2,NaN,0.194878811,NaN,-0.005370733,0.001447114,NaN,NaN,NaN,D,3.711340207
478784,2012UV136,1.005143331,0.140219068,2.131768787,25.5,NaN,NaN,NaN,-0.003110865,0.000842526,NaN,NaN,NaN,D,3.692307692
397326,2006TC1,1.720047328,0.375297305,4.495986271,18.9,NaN,NaN,NaN,0.001268,0.000348,NaN,NaN,NaN,B,3.643678161
208023,1999AQ10,0.934278209,0.235674574,6.499040542,20.5,NaN,NaN,NaN,-0.002066,0.000568,2.67,NaN,5,B,3.637323944
2100,Ra-Shalom,0.83204761,0.436542644,15.75298265,16.3,NaN,2.3,0.2,-0.000327,9.00E-05,19.797,NaN,8,A,3.633333333
5604,1992FE,0.928586741,0.406006799,4.71535639,17.2,NaN,0.55,NaN,-0.001268,0.000349,5.3375,NaN,8,B,3.633237822
437841,1998HD14,0.96301693,0.312563886,7.810313593,21,NaN,NaN,NaN,-0.003382,0.00094,NaN,NaN,NaN,A,3.59787234
437841,1998HD14,0.96301693,0.312563886,7.810313593,21,NaN,NaN,NaN,-0.004183,0.001168,NaN,NaN,NaN,B,3.581335616
208023,1999AQ10,0.934278209,0.235674574,6.499040542,20.5,NaN,NaN,NaN,-0.002434,0.00068,2.67,NaN,5,A,3.579411765
337252,2000SD8,1.128779366,0.313658605,6.547842354,20.7,NaN,NaN,NaN,-0.003276,0.00092,NaN,NaN,NaN,A,3.560869565
413260,2003TL4,0.77668951,0.381407797,12.18692073,19.4,NaN,NaN,NaN,-0.002036,0.000576,27.2,NaN,7,B,3.534722222
192559,1998VO,1.074566921,0.226526366,10.0610921,20.3,NaN,NaN,NaN,-0.001446,0.00041,NaN,NaN,NaN,A,3.526829268
153814,2001WN5,1.711795519,0.467054914,1.919164872,18.3,NaN,0.932,0.011,0.00341,0.00097,4.253,NaN,8,A,3.515463918
474163,1999SO5,1.085983525,0.065198774,13.36488476,20.9,NaN,NaN,NaN,-0.004084207,0.001166332,1.38,NaN,8,D,3.501754386
NaN,2005QQ87,1.000745704,0.301803866,33.96740547,22.7,NaN,0.097670772,NaN,-0.004633035,0.001335734,NaN,NaN,NaN,D,3.468531467
