Number,Name,a,e,i,H,H_std,D,D_std,P,P_std,P (LCDB),l1,b1,l2,b2,l3,b3,l4,b4,Mag(min),Mag(max),u,u_sigma,g,g_sigma,r,r_sigma,i,i_sigma,z,z_sigma,dadt (papers),dadt_std (papers),snr_papers,dadt (JPL),dadt_sigma (JPL),snr_jpl
66400,1999LT7,0.855250908,0.572553922,9.065620769,19.1,nan,0.411,0.076,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.003825,0.00053,7.22,-0.001659,0.00031,5.35
NaN,2012UK171,0.859751202,0.221678698,1.318816481,24.44,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.002312,0.000324,7.14
499998,2011PT,1.31235352,0.214719064,2.212869727,23.9,nan,nan,nan,0.17,0.05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.00913,0.001444,6.32,-0.008239,0.00117,7.04
10302,1989ML,1.272206355,0.136402908,4.378247099,19.4,nan,nan,nan,19.164,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.002876,0.000502,5.73,0.001748,0.000249,7.03
467351,2003KO2,0.72738076,0.510953448,23.50037426,20.5,nan,nan,nan,6.48,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.19,1.28,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.006559000000000001,0.001905,3.44,0.002088,0.000304,6.87
350523,2000EA14,1.116989861,0.202555028,3.555331418,21.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.002405,0.00073,3.29,0.002764,0.000405,6.82
455176,1999VF22,1.312545949,0.738643584,3.908683548,20.7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.003768,0.0007,5.38,-0.004293,0.00063,6.82
,2000CK59,1.479071438,0.312603008,5.689662886,24.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.007448000000000001,0.001462,5.09,-0.007415,0.001094,6.78
422686,2000AC6,0.853657055,0.286428222,4.699622151,21.49,nan,0.17600000000000002,0.005,2.444,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.002071,0.000307,6.74
424392,2007YJ,1.103875473,0.280004873,3.305342599,22.13,nan,0.239,0.077,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.00718,0.001086,6.61
283457,2001MQ3,2.232131219,0.45627698,5.587193923,19.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0013800000000000002,0.000493,2.8,-0.001982,0.0003,6.61
NaN,2009EM1,2.51997265,0.558914988,18.118853705,22.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.012316,0.001876,6.57
416151,2002RQ25,1.111672405,0.306357543,4.576223691,20.7,nan,nan,nan,12.191,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.002449,0.000962,2.55,0.002652,0.000409,6.49
